id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
c925cc30-5af3-4bf2-b793-91633eee246f,Maria Laura Cardoso,1960-01-19,357.603.893-87,00077-862,das Neves,MT,Brasil,F,+55 84 1610 1433,35760389387@exemplo.com.br,2024-06-15
7cbacf62-e49c-47b6-8699-d2f9d0ecfef0,Emilly Casa Grande,1968-08-22,410.845.770-98,10178-620,Duarte de Goiás,AL,Brasil,F,(021) 6560-9783,41084577098@exemplo.com.br,2024-07-30
38c07415-0e96-4ed5-bbb3-551cc34ac8c7,Vinícius da Rosa,1973-07-16,848.181.661-90,16883926,Sampaio da Prata,PB,Brasil,F,21 8693-9736,84818166190@exemplo.com.br,2026-03-18
e4a9dad2-8749-404d-b163-ca4f7af470f5,Gabrielly Novaes,1987-02-20,192.116.638-01,66380-251,Novaes,PI,Brasil,M,+55 (051) 8411-4068,19211663801@exemplo.com.br,2024-07-17
ed95aba7-2c78-4bf4-93b5-0003fba8b348,Antony da Conceição,2007-03-05,335.352.649-10,68291-672,Montenegro,RN,Brasil,F,(031) 5115 9889,33535264910@exemplo.com.br,2025-02-11
ec2ce773-25be-4414-9bbc-eeef608a3077,Bernardo Pinto,1948-09-29,130.704.004-73,91330-171,Castro dos Dourados,BA,Brasil,M,(031) 1674-5827,13070400473@exemplo.com.br,2024-12-29
8d27434b-e2d3-4f84-8352-c769a0e2ed56,Luiz Fernando Nascimento,1996-10-22,884.309.900-92,31748-811,Albuquerque,MT,Brasil,M,+55 41 0927-6068,88430990092@exemplo.com.br,2025-01-05
0673a674-9ea1-4e12-9e2e-427c1964959b,Juan Campos,1972-06-26,499.464.959-83,40943287,Caldeira,SC,Brasil,F,+55 (011) 0696 0408,49946495983@exemplo.com.br,2024-09-04
2215f603-60d5-41a0-8562-278845d590a5,Luiz Henrique Farias,1979-11-19,665.963.751-50,71891020,Lopes Alegre,PI,Brasil,F,+55 (061) 6995 3163,66596375150@exemplo.com.br,2025-09-06
09394ad6-2a38-4206-b983-954208a5ce6f,Srta. Fernanda Andrade,1966-04-22,345.174.216-13,61715432,Silva de Câmara,SE,Brasil,F,+55 (071) 0441-0257,34517421613@exemplo.com.br,2024-12-03
92484b67-5565-4059-b22f-54c9e890b32d,Dra. Luísa Ferreira,1956-08-24,254.612.866-25,06715-503,Sampaio,MA,Brasil,F,84 4154 1644,25461286625@exemplo.com.br,2024-11-30
9848dc32-921f-4a9c-b2bb-f877bffec158,Dante Pacheco,1936-10-17,706.328.073-79,13166-626,Cavalcante,AP,Brasil,F,71 1029-2421,70632807379@exemplo.com.br,2025-10-30
971cc0aa-8e9d-42c0-9397-1e87aaba61f3,Raquel Araújo,1967-06-26,919.313.278-43,67354896,Almeida,RO,Brasil,M,(031) 4858-6815,91931327843@exemplo.com.br,2024-11-23
43d7e200-79e4-4c11-a96d-ce5a0c281343,Ana Cecília Fogaça,1948-05-13,268.990.169-65,97939-600,Brito,SP,Brasil,F,0500-918-2219,26899016965@exemplo.com.br,2024-11-04
db2061be-c1e1-4706-ab5c-8a807e49685a,José Pedro Pereira,1940-07-01,952.564.961-96,78486048,Cardoso da Praia,SC,Brasil,F,31 2848 8241,95256496196@exemplo.com.br,2024-12-19
d0a3c867-4741-430a-ac39-e64273d7d8c1,João Gabriel Souza,1975-11-20,827.332.698-96,23335144,da Rosa da Serra,RJ,Brasil,F,+55 (081) 4346 2498,82733269896@exemplo.com.br,2025-07-10
4ac6be85-85fb-4b49-8631-c7a39fea5ba4,Pedro Miguel Carvalho,1938-09-07,741.906.330-63,80919-086,Martins Alegre,GO,Brasil,M,0300-695-7530,74190633063@exemplo.com.br,2025-08-21
3d985e8c-4bdb-4614-aa93-0d65b212ea44,Sr. Luiz Fernando Costela,1958-04-26,463.577.207-02,85478-689,Carvalho de Jesus,BA,Brasil,F,84 6619-5775,46357720702@exemplo.com.br,2025-08-01
a26b6c04-3f46-4cbb-9076-3a73fcad27fb,Liz Pacheco,1944-01-15,111.403.751-89,43825104,Vargas,PE,Brasil,F,+55 (071) 9041 2371,11140375189@exemplo.com.br,2025-05-06
84f024c1-2ee4-4229-91a1-cb623704d675,Sr. Arthur Miguel Oliveira,1982-06-12,775.505.327-04,98168-536,Silveira do Amparo,SE,Brasil,F,71 2486-6290,77550532704@exemplo.com.br,2026-02-22
7cf4f02f-249f-438f-a556-242052b27cc4,Bernardo Moura,1982-12-05,469.451.900-43,37839-603,Vieira do Oeste,PR,Brasil,M,+55 (084) 0804-1400,46945190043@exemplo.com.br,2025-08-17
c64e3dc1-e081-42dc-b665-82e73aaf35aa,Larissa Gonçalves,1937-01-13,684.949.751-56,26640111,Leão do Norte,RO,Brasil,F,+55 31 3386-4141,68494975156@exemplo.com.br,2024-10-27
0cf33d68-4017-41df-a2b9-2e792a1e8801,Marcela Cirino,1987-04-29,190.146.085-21,79271-785,Azevedo,RS,Brasil,F,0800 391 8358,19014608521@exemplo.com.br,2025-10-27
58040dcd-61fa-4db4-8dff-56a87c62fa64,Dr. Ravy da Paz,1942-03-05,309.663.198-48,51368362,Melo de Borges,RR,Brasil,F,(021) 0747 1283,30966319848@exemplo.com.br,2024-08-08
1e320dda-4ff9-4047-b3b7-6fd43ddcd34f,Davi Miguel Pires,1958-05-16,270.208.205-71,42465739,Cirino de Rezende,SC,Brasil,F,51 7720 0490,27020820571@exemplo.com.br,2025-02-20
37d9e3fb-e341-4818-9ec5-1afbc7bf7487,Sra. Rafaela Pacheco,1953-04-21,365.004.617-95,40819-990,Albuquerque,PE,Brasil,F,+55 51 5588 4103,36500461795@exemplo.com.br,2025-09-18
bcce2974-a9d2-4260-a146-cbc9f622a27b,Apollo Sá,1969-11-23,962.805.552-12,52871-191,Marques,TO,Brasil,F,+55 51 9133 5326,96280555212@exemplo.com.br,2026-04-19
c571ddb2-9f17-4ede-8842-98b2277eca33,Sr. Guilherme Peixoto,2004-06-25,799.205.391-97,73075155,Campos da Prata,AC,Brasil,M,(051) 4956-1784,79920539197@exemplo.com.br,2025-07-11
95492d86-d787-41b3-ae0f-af4d7d061fee,Marcela Vieira,1935-08-15,375.297.252-36,75552628,Melo,MS,Brasil,F,(021) 9114-0645,37529725236@exemplo.com.br,2025-01-06
90b9f156-691a-4788-b60d-6d35bad4ac7b,Sr. Lucca Carvalho,1976-12-04,489.392.747-31,80921483,Jesus,BA,Brasil,F,+55 41 4149-2062,48939274731@exemplo.com.br,2024-11-23
2c58a7cc-49ff-41ed-add7-822d28c812d3,Ísis Fonseca,1985-07-22,619.502.772-56,50288-980,Brito de Azevedo,MS,Brasil,F,0500 974 0017,61950277256@exemplo.com.br,2025-05-24
6e630a5a-bf7e-4ae2-8923-1d4dc88489f9,Mariah da Rosa,1964-02-22,299.309.501-82,66527-810,Fogaça das Flores,PI,Brasil,M,+55 51 8066 1830,29930950182@exemplo.com.br,2024-09-02
669322dc-c766-4cb7-af6b-1abd95cc5d6a,Emanuella Mendes,1983-02-15,177.508.852-63,69587255,Cirino,PA,Brasil,F,+55 84 3359 8826,17750885263@exemplo.com.br,2026-04-12
048ef04b-14b3-411b-9b28-ae91b8a927be,Aylla Alves,1970-08-06,526.582.426-56,23184879,Pastor de Duarte,PI,Brasil,F,+55 41 7082-6963,52658242656@exemplo.com.br,2024-06-30
b20bb5d3-438a-40c3-8705-529464678ef6,Gabriela da Mata,1993-07-26,398.583.997-60,87508-184,da Mota de Barbosa,PI,Brasil,M,+55 84 1782 7346,39858399760@exemplo.com.br,2026-01-16
72689b77-95da-4cd1-9889-584fc01204a6,Stella Costa,1967-09-13,549.218.868-76,65971428,Jesus de Santos,GO,Brasil,F,+55 (084) 8619-1530,54921886876@exemplo.com.br,2025-02-05
d24de121-802d-4e0d-ba4f-319ed778ad22,Bárbara Silva,2003-08-04,056.773.670-45,06721-909,Ferreira Alegre,ES,Brasil,M,(051) 6640-9326,05677367045@exemplo.com.br,2025-01-02
80fcc3e8-78d9-48d6-8445-9983f174164a,Davi Lucas Vieira,1999-12-18,642.825.641-23,84816-399,Barbosa,GO,Brasil,M,+55 (051) 2878 9734,64282564123@exemplo.com.br,2026-02-12
c3a4f8e5-b423-40e7-9225-5a01b76ddf09,Sara Campos,1992-09-15,622.217.364-80,18794553,Cunha,MS,Brasil,F,(041) 1351 6126,62221736480@exemplo.com.br,2025-12-28
